Id,ProjectId,TimeStamp,PowerGenerated,PowerConsumed,CreatedAt,PowerGeneratedRaw,PowerConsumedRaw,PowerGeneratedRaw/4,PowerConsumedRaw/4
287907,2,2018-01-02 9:15:00,2941,12936.47,2018-01-02 9:30:09,2941,12936.47,735.25,3234.1175
287925,2,2018-01-02 9:30:00,3225.66,16364.34,2018-01-02 9:45:09,3225.66,16364.34,806.415,4091.085
287945,2,2018-01-02 9:45:00,3532,12475.34,2018-01-02 10:00:13,3532,12475.34,883,3118.835
287964,2,2018-01-02 10:00:00,3846.66,16984.25,2018-01-02 10:15:12,3846.66,16984.25,961.665,4246.0625
287980,2,2018-01-02 10:15:00,4072.33,27222.01,2018-01-02 10:30:09,4072.33,27222.01,1018.0825,6805.5025
288001,2,2018-01-02 10:30:00,4233.66,12271.45,2018-01-02 10:45:09,4233.66,12271.45,1058.415,3067.8625
288020,2,2018-01-02 10:45:00,4465.33,18546.31,2018-01-02 11:00:09,4465.33,18546.31,1116.3325,4636.5775
288039,2,2018-01-02 11:00:00,4454.66,17576.05,2018-01-02 11:15:09,4454.66,17576.05,1113.665,4394.0125
288057,2,2018-01-02 11:15:00,4735.66,18936.41,2018-01-02 11:30:10,4735.66,18936.41,1183.915,4734.1025
288076,2,2018-01-02 11:30:00,4891.33,16983.27,2018-01-02 11:45:10,4891.33,16983.27,1222.8325,4245.8175
288094,2,2018-01-02 11:45:00,5009.66,14012.97,2018-01-02 12:00:09,5009.66,14012.97,1252.415,3503.2425
288115,2,2018-01-02 12:00:00,4971.66,18456.62,2018-01-02 12:15:09,4971.66,18456.62,1242.915,4614.155
288135,2,2018-01-02 12:15:00,4967.33,15029.5,2018-01-02 12:30:09,4967.33,15029.5,1241.8325,3757.375
288152,2,2018-01-02 12:30:00,4905.66,19215.18,2018-01-02 12:45:09,4905.66,19215.18,1226.415,4803.795
288172,2,2018-01-02 12:45:00,4943,17733.74,2018-01-02 13:00:09,4943,17733.74,1235.75,4433.435
288191,2,2018-01-02 13:00:00,4783.33,14265.29,2018-01-02 13:15:09,4783.33,14265.29,1195.8325,3566.3225
288208,2,2018-01-02 13:15:00,4639.33,14641.95,2018-01-02 13:30:09,4639.33,14641.95,1159.8325,3660.4875
288229,2,2018-01-02 13:30:00,4488,13809.97,2018-01-02 13:45:10,4488,13809.97,1122,3452.4925
288248,2,2018-01-02 13:45:00,4370.66,16695.68,2018-01-02 14:00:10,4370.66,16695.68,1092.665,4173.92
288266,2,2018-01-02 14:00:00,4097.66,14344.53,2018-01-02 14:15:10,4097.66,14344.53,1024.415,3586.1325
288287,2,2018-01-02 14:15:00,3896.66,16762.28,2018-01-02 14:30:14,3896.66,16762.28,974.165,4190.57
288304,2,2018-01-02 14:30:00,2598,12593.01,2018-01-02 14:45:09,2598,12593.01,649.5,3148.2525
288321,2,2018-01-02 14:45:00,3413.66,13859.06,2018-01-02 15:00:09,3413.66,13859.06,853.415,3464.765
288344,2,2018-01-02 15:00:00,3038,14520.77,2018-01-02 15:15:10,3038,14520.77,759.5,3630.1925
288363,2,2018-01-02 15:15:00,2689.33,15051.55,2018-01-02 15:30:10,2689.33,15051.55,672.3325,3762.8875
288381,2,2018-01-02 15:30:00,2306,12997.81,2018-01-02 15:45:08,2306,12997.81,576.5,3249.4525
288400,2,2018-01-02 15:45:00,1703.33,17158.21,2018-01-02 16:00:08,1703.33,17158.21,425.8325,4289.5525
288420,2,2018-01-02 16:00:00,1103.66,12468.75,2018-01-02 16:15:10,1103.66,12468.75,275.915,3117.1875
288438,2,2018-01-02 16:15:00,477.33,14404.5,2018-01-02 16:30:13,477.33,14404.5,119.3325,3601.125
288457,2,2018-01-02 16:30:00,505.33,12901.54,2018-01-02 16:45:09,505.33,12901.54,126.3325,3225.385
288476,2,2018-01-02 16:45:00,482.33,13521.67,2018-01-02 17:00:13,482.33,13521.67,120.5825,3380.4175
288494,2,2018-01-02 17:00:00,348,12357.84,2018-01-02 17:15:08,348,12357.84,87,3089.46
288514,2,2018-01-02 17:15:00,126.33,13735.18,2018-01-02 17:30:11,126.33,13735.18,31.5825,3433.795
288532,2,2018-01-02 17:30:00,27,13625.23,2018-01-02 17:45:09,27,13625.23,6.75,3406.3075
288551,2,2018-01-02 17:45:00,0,13295.91,2018-01-02 18:00:09,0,13295.91,0,3323.9775
288570,2,2018-01-02 18:00:00,0,14540.75,2018-01-02 18:15:09,0,14540.75,0,3635.1875
288590,2,2018-01-02 18:15:00,0,13338.76,2018-01-02 18:30:08,0,13338.76,0,3334.69
288608,2,2018-01-02 18:30:00,0,12578.99,2018-01-02 18:45:08,0,12578.99,0,3144.7475
288627,2,2018-01-02 18:45:00,0,10225.89,2018-01-02 19:00:08,0,10225.89,0,2556.4725
288646,2,2018-01-02 19:00:00,0,8683.18,2018-01-02 19:15:08,0,8683.18,0,2170.795
288666,2,2018-01-02 19:15:00,0,9153.13,2018-01-02 19:30:10,0,9153.13,0,2288.2825
288683,2,2018-01-02 19:30:00,0,8301.63,2018-01-02 19:45:11,0,8301.63,0,2075.4075
288702,2,2018-01-02 19:45:00,0,7370.16,2018-01-02 20:00:08,0,7370.16,0,1842.54
288721,2,2018-01-02 20:00:00,0,0,2018-01-02 20:15:09,0,0,0,0
288739,2,2018-01-02 20:15:00,0,0,2018-01-02 20:30:09,0,0,0,0
288759,2,2018-01-02 20:30:00,0,0,2018-01-02 20:45:11,0,0,0,0
288779,2,2018-01-02 20:45:00,0,0,2018-01-02 21:00:07,0,0,0,0
288797,2,2018-01-02 21:00:00,0,3553.09,2018-01-02 21:15:08,0,3553.09,0,888.2725
288814,2,2018-01-02 21:15:00,0,3664.9,2018-01-02 21:30:08,0,3664.9,0,916.225
288835,2,2018-01-02 21:30:00,0,3014.12,2018-01-02 21:45:08,0,3014.12,0,753.53
288853,2,2018-01-02 21:45:00,0,3303.02,2018-01-02 22:00:08,0,3303.02,0,825.755
288873,2,2018-01-02 22:00:00,0,3697.76,2018-01-02 22:15:08,0,3697.76,0,924.44
288892,2,2018-01-02 22:15:00,0,3648.14,2018-01-02 22:30:08,0,3648.14,0,912.035
288911,2,2018-01-02 22:30:00,0,3571.09,2018-01-02 22:45:08,0,3571.09,0,892.7725
288930,2,2018-01-02 22:45:00,0,4393.94,2018-01-02 23:00:08,0,4393.94,0,1098.485
288949,2,2018-01-02 23:00:00,0,3284.23,2018-01-02 23:15:08,0,3284.23,0,821.0575
288968,2,2018-01-02 23:15:00,0,4125.53,2018-01-02 23:30:08,0,4125.53,0,1031.3825
288986,2,2018-01-02 23:30:00,0,2967.52,2018-01-02 23:45:08,0,2967.52,0,741.88
287183,2,2018-01-02 23:45:00,0,0,2018-01-02 0:00:09,0,0,0,0
289025,2,2018-01-03,0,3122.09,2018-01-03 0:15:08,0,3122.09,0,780.5225
289045,2,2018-01-03 0:15:00,0,3626.91,2018-01-03 0:30:11,0,3626.91,0,906.7275
289062,2,2018-01-03 0:30:00,0,3464.67,2018-01-03 0:45:09,0,3464.67,0,866.1675
289082,2,2018-01-03 0:45:00,0,3495.33,2018-01-03 1:00:08,0,3495.33,0,873.8325
289101,2,2018-01-03 1:00:00,0,3494.35,2018-01-03 1:15:09,0,3494.35,0,873.5875
289120,2,2018-01-03 1:15:00,0,3684.76,2018-01-03 1:30:08,0,3684.76,0,921.19
289139,2,2018-01-03 1:30:00,0,3153.62,2018-01-03 1:45:08,0,3153.62,0,788.405
289158,2,2018-01-03 1:45:00,0,3398.81,2018-01-03 2:00:08,0,3398.81,0,849.7025
289177,2,2018-01-03 2:00:00,0,2818.73,2018-01-03 2:15:09,0,2818.73,0,704.6825
289196,2,2018-01-03 2:15:00,0,3017.98,2018-01-03 2:30:08,0,3017.98,0,754.495
289215,2,2018-01-03 2:30:00,0,3599.17,2018-01-03 2:45:08,0,3599.17,0,899.7925
289234,2,2018-01-03 2:45:00,0,3263.15,2018-01-03 3:00:08,0,3263.15,0,815.7875
289253,2,2018-01-03 3:00:00,0,4332.36,2018-01-03 3:15:08,0,4332.36,0,1083.09
289272,2,2018-01-03 3:15:00,0,3478.85,2018-01-03 3:30:08,0,3478.85,0,869.7125
289292,2,2018-01-03 3:30:00,0,3607.14,2018-01-03 3:45:08,0,3607.14,0,901.785
289309,2,2018-01-03 3:45:00,0,5014.26,2018-01-03 4:00:08,0,5014.26,0,1253.565
289329,2,2018-01-03 4:00:00,0,3292.65,2018-01-03 4:15:08,0,3292.65,0,823.1625
289348,2,2018-01-03 4:15:00,0,4431.49,2018-01-03 4:30:08,0,4431.49,0,1107.8725
289367,2,2018-01-03 4:30:00,0,3065.56,2018-01-03 4:45:08,0,3065.56,0,766.39
289386,2,2018-01-03 4:45:00,0,3573.29,2018-01-03 5:00:08,0,3573.29,0,893.3225
289405,2,2018-01-03 5:00:00,0,2860.26,2018-01-03 5:15:08,0,2860.26,0,715.065
289425,2,2018-01-03 5:15:00,0,2975.62,2018-01-03 5:30:08,0,2975.62,0,743.905
289443,2,2018-01-03 5:30:00,0,3379.73,2018-01-03 5:45:08,0,3379.73,0,844.9325
289463,2,2018-01-03 5:45:00,0,3445.37,2018-01-03 6:00:08,0,3445.37,0,861.3425
289481,2,2018-01-03 6:00:00,0,0,2018-01-03 6:15:09,0,0,0,0
289501,2,2018-01-03 6:15:00,0,0,2018-01-03 6:30:13,0,0,0,0
289517,2,2018-01-03 6:30:00,0,0,2018-01-03 6:45:09,0,0,0,0
289535,2,2018-01-03 6:45:00,0,0,2018-01-03 7:00:09,0,0,0,0
289553,2,2018-01-03 7:00:00,19.66,5524.3,2018-01-03 7:15:08,19.66,5524.3,4.915,1381.075
289572,2,2018-01-03 7:15:00,131.66,6454.9,2018-01-03 7:30:08,131.66,6454.9,32.915,1613.725
289591,2,2018-01-03 7:30:00,230.66,6594.09,2018-01-03 7:45:08,230.66,6594.09,57.665,1648.5225
289610,2,2018-01-03 7:45:00,326,9952.13,2018-01-03 8:00:08,326,9952.13,81.5,2488.0325
289628,2,2018-01-03 8:00:00,620.33,10816.38,2018-01-03 8:15:09,620.33,10816.38,155.0825,2704.095
289646,2,2018-01-03 8:15:00,975.33,9400.22,2018-01-03 8:30:08,975.33,9400.22,243.8325,2350.055
289666,2,2018-01-03 8:30:00,1132,8729.58,2018-01-03 8:45:09,1132,8729.58,283,2182.395
289686,2,2018-01-03 8:45:00,1208.33,12995.72,2018-01-03 9:00:09,1208.33,12995.72,302.0825,3248.93
289705,2,2018-01-03 9:00:00,1315.66,14739.35,2018-01-03 9:15:08,1315.66,14739.35,328.915,3684.8375
289724,2,2018-01-03 9:15:00,1447.66,11664.97,2018-01-03 9:30:18,1447.66,11664.97,361.915,2916.2425
289742,2,2018-01-03 9:30:00,1666,13924.11,2018-01-03 9:45:08,1666,13924.11,416.5,3481.0275
289761,2,2018-01-03 9:45:00,2003.66,13524.91,2018-01-03 10:00:09,2003.66,13524.91,500.915,3381.2275
289779,2,2018-01-03 10:00:00,3529.33,15440.78,2018-01-03 10:15:09,3529.33,15440.78,882.3325,3860.195
289796,2,2018-01-03 10:15:00,2621.5,13031.35,2018-01-03 10:30:10,2621.5,13031.35,655.375,3257.8375
289816,2,2018-01-03 10:30:00,3879,17620.03,2018-01-03 10:45:09,3879,17620.03,969.75,4405.0075
289837,2,2018-01-03 10:45:00,4106.66,15000.31,2018-01-03 11:00:10,4106.66,15000.31,1026.665,3750.0775
289855,2,2018-01-03 11:00:00,3078,14280.85,2018-01-03 11:15:08,3078,14280.85,769.5,3570.2125
289872,2,2018-01-03 11:15:00,4014.66,13076.11,2018-01-03 11:30:09,4014.66,13076.11,1003.665,3269.0275
289892,2,2018-01-03 11:30:00,4377,16082.91,2018-01-03 11:45:08,4377,16082.91,1094.25,4020.7275
289910,2,2018-01-03 11:45:00,2838.66,17926.09,2018-01-03 12:00:09,2838.66,17926.09,709.665,4481.5225
289928,2,2018-01-03 12:00:00,3297.66,14968.92,2018-01-03 12:15:08,3297.66,14968.92,824.415,3742.23
289949,2,2018-01-03 12:15:00,2189.33,15700.34,2018-01-03 12:30:08,2189.33,15700.34,547.3325,3925.085
289966,2,2018-01-03 12:30:00,3205,15481.97,2018-01-03 12:45:08,3205,15481.97,801.25,3870.4925
289988,2,2018-01-03 12:45:00,2903.66,16716.62,2018-01-03 13:00:09,2903.66,16716.62,725.915,4179.155
290005,2,2018-01-03 13:00:00,2630.66,13326.89,2018-01-03 13:15:08,2630.66,13326.89,657.665,3331.7225
290024,2,2018-01-03 13:15:00,3801,19597.15,2018-01-03 13:30:08,3801,19597.15,950.25,4899.2875
290044,2,2018-01-03 13:30:00,2502.33,19757.16,2018-01-03 13:45:09,2502.33,19757.16,625.5825,4939.29
290062,2,2018-01-03 13:45:00,3222,16298.08,2018-01-03 14:00:10,3222,16298.08,805.5,4074.52
290081,2,2018-01-03 14:00:00,2029,14693.77,2018-01-03 14:15:51,2029,14693.77,507.25,3673.4425
290096,2,2018-01-03 14:15:00,3216.33,14591.31,2018-01-03 14:30:18,3216.33,14591.31,804.0825,3647.8275
290111,2,2018-01-03 14:30:00,2380.33,15481.24,2018-01-03 14:45:12,2380.33,15481.24,595.0825,3870.31
290124,2,2018-01-03 14:45:00,2099,16585.07,2018-01-03 15:00:10,2099,16585.07,524.75,4146.2675
290138,2,2018-01-03 15:00:00,2541.66,13986.42,2018-01-03 15:15:11,2541.66,13986.42,635.415,3496.605
